id,first_name,rank,pct,census_trash
311,"Gavin",182640,99.79029785370128,15.6786
312,"Curtis",182523,99.26365444354957,50.0008
313,"Casey",182391,58.53742783361021,32.517
314,"Savannah",179594,0.11823334855284699,17.083
315,"Lynn",179261,15.714293683511752,61.4301
316,"Roy",179049,99.33258493485023,58.4982
317,"Sydney",176020,2.6523406431087375,20.9344
318,"Harold",175665,99.45692084365126,63.7073
319,"Levi",175512,99.31172797301609,14.3345
320,"Chase",175286,97.9222527754641,17.9753
321,"Louis",174804,99.34326445619094,51.7124
322,"Suzanne",174723,0.21444228865117929,59.4865
323,"Landon",174422,99.38654527525198,13.3564
324,"Stacy",173391,10.724835775789979,45.7903
325,"Miguel",173350,99.45370637438707,26.9914
326,"Allen",173331,99.3613375564671,50.3568
327,"Kristin",172838,0.8789386593226027,41.161
328,"Hailey",172096,0.14474072610635924,16.0089
329,"Theodore",171632,99.71450545352847,33.3387
330,"Lee",170418,75.75080097172834,54.8279
331,"Wanda",168981,0.3097259455205023,66.4106
332,"Tara",168616,0.30071701380651894,40.4077
333,"Carrie",168060,0.3175824110436749,48.9419
334,"Dominic",167605,99.29417380149756,19.7721
335,"Devin",167477,89.8666682589251,24.667
336,"Steve",165890,99.58767858219302,57.506
337,"Renee",165693,0.8628366919543976,50.448
338,"Debbie",165150,0.21554586739327883,60.268
339,"Kaitlyn",163687,0.1388467013263118,21.6528
340,"Cassandra",162996,0.21645009693489412,35.254
341,"Claire",161730,0.28936684597786433,25.3082
342,"Sofia",159659,0.10220344609448888,11.4009
343,"Chelsea",159377,0.24670937462745565,28.2063
344,"Lindsey",158499,3.031299882018183,31.8646
345,"Randall",158054,99.34452781960596,54.2857
346,"Ellen",157975,0.20921411615761987,58.9909
347,"Lily",157947,0.08525011554508792,13.6993
348,"Molly",157342,0.22036328507327985,29.1797
349,"Haley",156746,0.4385725951539433,23.1915
350,"Seth",156253,99.69088593499005,27.3878
351,"Elaine",155474,0.19463897500546715,62.7161
352,"Trevor",155232,99.61863533292104,26.7397
353,"Gail",153921,1.9785604303506343,67.0912
354,"Ruby",153353,0.6122749473437102,41.0888
355,"Phyllis",152698,0.21001126406370746,71.8003
356,"Stacey",151821,8.019839152686387,46.3203
357,"Madeline",151723,0.12271310216644805,24.7249
358,"Kelsey",151537,3.07892461906993,26.778
359,"Brett",150914,97.84645559722756,38.2165
360,"Ralph",150861,99.51743658069348,63.2135
361,"Shelby",150125,7.325228975853455,29.5703
362,"Darlene",150063,0.2481810972724789,62.8361
363,"Rita",149717,0.22647060788020065,64.6991
364,"Addison",148905,7.281152412612069,11.6662
365,"Destiny",148731,0.3425761946063699,20.1576
366,"Xavier",147806,99.43574685736709,16.6258
367,"Laurie",147754,0.5542448935392612,57.3209
