rank,name,domain,registrar
137,Xcel Energy,xcelenergy.com,NETWORK SOLUTIONS INC.
138,Valero Energy,valero.com,NETWORK SOLUTIONS INC.
139,McDonald's,mcdonalds.com,NETWORK SOLUTIONS INC.
140,Weyerhaeuser,weyerhaeuser.com,NETWORK SOLUTIONS INC.
141,Kimberly-Clark,kimberly-clark.com,REGISTER.COM INC.
142,Liberty Mutual Insurance Group,libertymutual.com,NETWORK SOLUTIONS INC.
143,May Department Stores,maycompany.com,NETWORK SOLUTIONS INC.
144,Goodyear Tire & Rubber,goodyear.com,NAMEENGINE INC.
145,Wyeth,wyeth.com,NETWORK SOLUTIONS INC.
146,Occidental Petroleum,oxy.com,NETWORK SOLUTIONS INC.
147,Household International,household.com,NETWORK SOLUTIONS INC.
148,Delta Air Lines,delta.com,NETWORK SOLUTIONS INC.
149,Gap,gap.com,NETWORK SOLUTIONS INC.
150,Lear,lear.com,NETWORK SOLUTIONS INC.
151,Northrop Grumman,northropgrumman.com,NETWORK SOLUTIONS INC.
152,Amerada Hess,hess.com,NETWORK SOLUTIONS INC.
153,Halliburton,halliburton.com,NETWORK SOLUTIONS INC.
154,Deere,deere.com,REGISTER.COM INC.
155,Eastman Kodak,kodak.com,NETWORK SOLUTIONS INC.
156,CMS Energy,cmsenergy.com,REGISTER.COM INC.
157,Circuit City Stores,circuitcity.com,NETWORK SOLUTIONS INC.
158,Cinergy,cinergy.com,NETWORK SOLUTIONS INC.
159,Anheuser-Busch,anheuser-busch.com,NETWORK SOLUTIONS INC.
160,Winn-Dixie Stores,winn-dixie.com,NETWORK SOLUTIONS INC.
161,Avnet,avnet.com,NETWORK SOLUTIONS INC.
162,WellPoint Health Networks,wellpoint.com,NETWORK SOLUTIONS INC.
163,Sunoco,sunocoinc.com,NETWORK SOLUTIONS INC.
164,Textron,textron.com,NETWORK SOLUTIONS INC.
165,Edison International,edison.com,NETWORK SOLUTIONS INC.
166,General Dynamics,gd.com,NETWORK SOLUTIONS INC.
167,Tenet Healthcare,tenethealth.com,NETWORK SOLUTIONS INC.
168,Union Pacific,up.com,NETWORK SOLUTIONS INC.
169,PacifiCare Health Systems,pacificare.com,NETWORK SOLUTIONS INC.
